谱信息：
开始时间,20:17:20
测量时间,82.607
死时间,0.396
总计数,99047
最大值,10033
Life通道道址,Life通道计数,Start通道道址,Start通道计数,Stop通道道址,Stop通道计数
618,1,618,2650,618,1721
619,1,619,2645,619,1752
620,0,620,2714,620,1807
621,0,621,2674,621,1815
622,0,622,2639,622,1691
623,0,623,2727,623,1677
624,3,624,2683,624,1722
625,1,625,2660,625,1709
626,0,626,2638,626,1799
627,0,627,2650,627,1687
628,0,628,2641,628,1734
629,1,629,2692,629,1669
630,0,630,2631,630,1708
631,0,631,2585,631,1736
632,1,632,2673,632,1664
633,0,633,2687,633,1732
634,0,634,2691,634,1724
635,0,635,2766,635,1672
636,0,636,2745,636,1719
637,2,637,2647,637,1725
638,0,638,2626,638,1679
639,0,639,2649,639,1697
640,1,640,2709,640,1730
641,1,641,2740,641,1678
642,0,642,2713,642,1669
643,0,643,2710,643,1678
644,0,644,2670,644,1705
645,0,645,2748,645,1692
646,0,646,2721,646,1768
647,0,647,2739,647,1700
648,1,648,2739,648,1722
649,1,649,2713,649,1739
650,0,650,2729,650,1706
651,0,651,2799,651,1683
652,1,652,2741,652,1704
653,0,653,2744,653,1730
654,0,654,2752,654,1690
655,2,655,2781,655,1718
656,2,656,2812,656,1757
657,0,657,2726,657,1786
658,2,658,2763,658,1770
659,0,659,2731,659,1695
660,1,660,2710,660,1735
661,2,661,2718,661,1732
662,1,662,2686,662,1825
663,1,663,2719,663,1719
664,0,664,2764,664,1723
665,0,665,2824,665,1684
666,0,666,2690,666,1683
667,1,667,2836,667,1689
668,2,668,2736,668,1698
669,0,669,2724,669,1682
670,1,670,2808,670,1702
671,0,671,2812,671,1713
672,0,672,2892,672,1710
673,1,673,2725,673,1693
674,0,674,2796,674,1672
675,1,675,2808,675,1733
676,1,676,2895,676,1703
677,1,677,2748,677,1718
678,2,678,2858,678,1760
679,2,679,2833,679,1702
680,0,680,2859,680,1711
681,1,681,2835,681,1744
682,1,682,2867,682,1633
683,0,683,2923,683,1706
684,0,684,2777,684,1716
685,1,685,2921,685,1660
686,1,686,2882,686,1697
687,1,687,2896,687,1719
688,1,688,2973,688,1619
689,1,689,2841,689,1762
690,0,690,2876,690,1788
691,1,691,2923,691,1697
692,1,692,2895,692,1720
693,4,693,2984,693,1711
694,0,694,3046,694,1689
695,1,695,2893,695,1726
696,0,696,2962,696,1787
697,1,697,2853,697,1740
698,1,698,2960,698,1756
699,1,699,3014,699,1778
700,0,700,2940,700,1743
701,0,701,2937,701,1713
702,3,702,2900,702,1709
703,1,703,2986,703,1694
704,0,704,3046,704,1756
705,1,705,2964,705,1699
706,0,706,3101,706,1665
707,1,707,3083,707,1704
708,1,708,2989,708,1757
709,0,709,3153,709,1670
710,0,710,3022,710,1719
711,1,711,3053,711,1780
712,1,712,3039,712,1747
713,0,713,2997,713,1697
714,2,714,3016,714,1756
715,0,715,3114,715,1751
716,1,716,3048,716,1751
717,1,717,3059,717,1775
718,0,718,3076,718,1795
719,0,719,3065,719,1712
720,0,720,3112,720,1812
721,1,721,3112,721,1771
722,0,722,3126,722,1717
723,0,723,3115,723,1749
724,1,724,3116,724,1743
725,3,725,3166,725,1756
726,1,726,3275,726,1890
727,2,727,3149,727,1712
728,1,728,3086,728,1773
729,0,729,3181,729,1702
730,2,730,3204,730,1773
731,1,731,3299,731,1855
732,0,732,3153,732,1742
733,0,733,3174,733,1772
734,0,734,3324,734,1799
735,0,735,3202,735,1749
736,2,736,3173,736,1730
737,2,737,3239,737,1834
738,0,738,3292,738,1789
739,0,739,3261,739,1819
740,2,740,3277,740,1784
741,1,741,3451,741,1818
742,1,742,3284,742,1802
743,1,743,3330,743,1846
744,1,744,3282,744,1772
745,0,745,3294,745,1803
746,1,746,3354,746,1857
747,0,747,3358,747,1751
748,1,748,3368,748,1692
749,0,749,3377,749,1736
750,0,750,3398,750,1708
751,2,751,3503,751,1760
752,0,752,3377,752,1818
753,0,753,3469,753,1767
754,1,754,3415,754,1780
755,0,755,3453,755,1777
756,1,756,3437,756,1871
757,1,757,3437,757,1801
758,0,758,3349,758,1717
759,1,759,3457,759,1759
760,0,760,3377,760,1793
761,0,761,3480,761,1745
762,0,762,3411,762,1754
763,2,763,3421,763,1728
764,1,764,3430,764,1721
765,0,765,3409,765,1814
766,0,766,3309,766,1846
767,0,767,3365,767,1840
768,0,768,3321,768,1795
769,1,769,3448,769,1722
770,0,770,3420,770,1813
771,0,771,3415,771,1766
772,4,772,3423,772,1821
773,1,773,3359,773,1721
774,3,774,3503,774,1777
775,2,775,3435,775,1805
776,2,776,3394,776,1875
777,1,777,3455,777,1821
778,0,778,3382,778,1877
779,2,779,3322,779,1816
780,3,780,3335,780,1891
781,1,781,3390,781,1852
782,2,782,3451,782,1807
783,0,783,3406,783,1827
784,0,784,3383,784,1866
785,1,785,3394,785,1799
786,1,786,3323,786,1836
787,1,787,3376,787,1837
788,2,788,3481,788,1821
789,0,789,3308,789,1844
790,2,790,3358,790,1755
791,2,791,3380,791,1922
792,1,792,3300,792,1802
793,1,793,3474,793,1825
794,2,794,3363,794,1857
795,3,795,3375,795,1891
796,1,796,3425,796,1817
797,0,797,3384,797,1810
798,0,798,3335,798,1822
799,1,799,3311,799,1872
800,0,800,3375,800,1832
801,1,801,3408,801,1895
802,0,802,3456,802,1846
803,1,803,3235,803,1884
804,0,804,3389,804,1862
805,3,805,3397,805,1926
806,1,806,3285,806,1853
807,0,807,3201,807,1842
808,0,808,3220,808,1903
809,2,809,3184,809,1908
810,1,810,3230,810,1906
811,1,811,3284,811,1878
812,0,812,3235,812,1902
813,3,813,3225,813,1957
814,0,814,3203,814,1886
815,0,815,3056,815,1931
816,0,816,3288,816,2003
817,2,817,3260,817,1873
818,1,818,3166,818,1933
819,0,819,3182,819,1858
820,0,820,3156,820,1927
821,0,821,3226,821,1924
822,0,822,3272,822,1978
823,0,823,3172,823,1882
824,3,824,3252,824,1984
825,1,825,3206,825,1959
826,0,826,3171,826,1964
827,1,827,3162,827,1900
828,2,828,3156,828,2009
829,1,829,3175,829,1963
830,0,830,3161,830,1977
831,1,831,3228,831,1872
832,0,832,3167,832,1882
833,0,833,3096,833,1996
834,1,834,3137,834,1972
835,0,835,3194,835,2007
836,3,836,3190,836,2029
837,1,837,3184,837,2016
838,0,838,3096,838,1970
839,3,839,3168,839,1949
840,1,840,3171,840,1937
841,2,841,3142,841,1948
842,0,842,3170,842,1872
843,3,843,3115,843,1999
844,2,844,3144,844,2004
845,2,845,3226,845,2010
846,2,846,3060,846,2062
847,4,847,3103,847,1973
848,2,848,3076,848,2065
849,1,849,3064,849,2074
850,1,850,3121,850,2032
851,0,851,3087,851,2036
852,2,852,3107,852,2057
853,1,853,3131,853,1985
854,0,854,3052,854,1986
855,0,855,3027,855,2103
856,0,856,3064,856,2028
857,1,857,3020,857,2080
858,0,858,3069,858,2003
859,1,859,2956,859,2100
860,0,860,3013,860,2119
861,0,861,2923,861,1998
862,1,862,2995,862,2105
863,1,863,2985,863,1961
864,3,864,2986,864,2186
865,0,865,2973,865,2050
866,1,866,2988,866,1997
867,0,867,3000,867,2089
868,1,868,2975,868,2060
869,1,869,2947,869,2084
870,1,870,2932,870,2123
871,2,871,2960,871,2189
872,0,872,3053,872,2112
873,0,873,2991,873,2160
874,0,874,3031,874,2255
875,2,875,2938,875,2139
876,2,876,3007,876,2219
877,2,877,2960,877,2086
878,1,878,2960,878,2140
879,1,879,2917,879,2158
880,0,880,3032,880,2175
881,1,881,3006,881,2127
882,1,882,2885,882,2121
883,2,883,3003,883,2067
884,3,884,2970,884,2160
885,1,885,2989,885,2162
886,0,886,3020,886,2192
887,1,887,2959,887,2255
888,2,888,2941,888,2130
889,1,889,2997,889,2092
890,1,890,3034,890,2186
891,2,891,2953,891,2178
892,0,892,2939,892,2297
893,2,893,2958,893,2137
894,0,894,2966,894,2235
895,3,895,2976,895,2107
896,2,896,2858,896,2263
897,0,897,2986,897,2268
898,0,898,2944,898,2227
899,1,899,2946,899,2235
900,1,900,3054,900,2310
901,2,901,2937,901,2193
902,2,902,2931,902,2293
903,0,903,2941,903,2342
904,0,904,2840,904,2293
905,2,905,2819,905,2211
906,2,906,2857,906,2228
907,1,907,2961,907,2229
908,5,908,2847,908,2268
909,0,909,2802,909,2216
910,0,910,2794,910,2291
911,3,911,3010,911,2275
912,1,912,2865,912,2278
913,0,913,2884,913,2215
914,0,914,2862,914,2285
915,3,915,2826,915,2259
916,1,916,2750,916,2283
917,0,917,2805,917,2264
918,1,918,2791,918,2295
919,0,919,2840,919,2239
920,1,920,2891,920,2349
921,1,921,2746,921,2265
922,1,922,2794,922,2174
923,1,923,2858,923,2214
924,0,924,2864,924,2288
925,1,925,2809,925,2204
926,1,926,2886,926,2287
927,0,927,2744,927,2251
928,0,928,2792,928,2316
929,0,929,2929,929,2231
930,0,930,2827,930,2400
931,0,931,2813,931,2333
932,1,932,2830,932,2276
933,0,933,2705,933,2253
934,0,934,2824,934,2313
935,1,935,2807,935,2266
936,1,936,2856,936,2305
937,0,937,2806,937,2202
938,0,938,2785,938,2315
939,0,939,2798,939,2251
940,0,940,2639,940,2261
941,2,941,2756,941,2276
942,0,942,2695,942,2201
943,2,943,2690,943,2358
944,0,944,2696,944,2167
945,0,945,2685,945,2201
946,0,946,2669,946,2197
947,0,947,2857,947,2256
948,1,948,2772,948,2356
949,0,949,2702,949,2199
950,0,950,2788,950,2298
951,0,951,2763,951,2344
952,0,952,2587,952,2222
953,1,953,2740,953,2213
954,2,954,2665,954,2266
955,0,955,2822,955,2171
956,1,956,2748,956,2180
957,1,957,2697,957,2276
958,1,958,2787,958,2241
959,0,959,2800,959,2322
960,1,960,2764,960,2282
961,1,961,2743,961,2266
962,1,962,2719,962,2203
963,1,963,2649,963,2382
964,1,964,2656,964,2212
965,0,965,2662,965,2300
966,1,966,2800,966,2234
967,0,967,2727,967,2216
968,0,968,2741,968,2175
969,0,969,2655,969,2193
970,0,970,2761,970,2185
971,0,971,2712,971,2165
972,0,972,2766,972,2217
973,0,973,2842,973,2202
974,2,974,2698,974,2165
975,0,975,2666,975,2223
