μ子数据
开始时间,19:22:03
测量时间,592.6
μ子衰变数,10330
μ子通量数,1718
日期时间,μ子寿命
20221205 19:22:39,2.1
20221205 19:22:40,1.75
20221205 19:22:40,1.93
20221205 19:22:40,1.02
20221205 19:22:40,6.35
20221205 19:22:40,2.66
20221205 19:22:40,2.18
20221205 19:22:40,0.48
20221205 19:22:40,1.85
20221205 19:22:40,1.54
20221205 19:22:40,1.27
20221205 19:22:40,1.4
20221205 19:22:40,0.39
20221205 19:22:40,2.87
20221205 19:22:40,6.55
20221205 19:22:40,2.09
20221205 19:22:40,5.41
20221205 19:22:40,0.63
20221205 19:22:40,3.51
20221205 19:22:40,2.02
20221205 19:22:40,0.89
20221205 19:22:41,1.69
20221205 19:22:41,4.62
20221205 19:22:41,0.22
20221205 19:22:41,1.56
20221205 19:22:41,2.99
20221205 19:22:41,8.15
20221205 19:22:41,0.66
20221205 19:22:41,4.85
20221205 19:22:41,2.99
20221205 19:22:41,0.43
20221205 19:22:41,0.19
20221205 19:22:41,0.36
20221205 19:22:41,3.01
20221205 19:22:41,1.8
20221205 19:22:42,1.44
20221205 19:22:42,0.22
20221205 19:22:42,0.33
20221205 19:22:42,1.33
20221205 19:22:42,0.22
20221205 19:22:42,0.53
20221205 19:22:42,3.61
20221205 19:22:42,3.25
20221205 19:22:42,1.58
20221205 19:22:42,0.46
20221205 19:22:42,1.41
20221205 19:22:42,0.89
20221205 19:22:42,7.02
20221205 19:22:42,2.16
20221205 19:22:42,7.3
20221205 19:22:42,1.77
20221205 19:22:42,0.36
20221205 19:22:42,3.02
20221205 19:22:43,0.68
20221205 19:22:43,0.6
20221205 19:22:43,0.67
20221205 19:22:43,1.53
20221205 19:22:43,2.75
20221205 19:22:43,2.68
20221205 19:22:43,7.34
20221205 19:22:43,0.62
20221205 19:22:43,4.29
20221205 19:22:43,0.67
20221205 19:22:43,0.3
20221205 19:22:43,1.48
20221205 19:22:43,0.98
20221205 19:22:43,1.17
20221205 19:22:43,0.71
20221205 19:22:43,0.2
20221205 19:22:43,2.99
20221205 19:22:43,3.81
20221205 19:22:44,4.45
20221205 19:22:44,0.61
20221205 19:22:44,0.47
20221205 19:22:44,3.42
20221205 19:22:44,1.1
20221205 19:22:44,0.32
20221205 19:22:44,2.58
20221205 19:22:44,10.94
20221205 19:22:44,0.23
20221205 19:22:44,2.36
20221205 19:22:44,3.57
20221205 19:22:44,0.18
20221205 19:22:44,1.99
20221205 19:22:44,0.51
20221205 19:22:44,4.36
20221205 19:22:44,5.42
20221205 19:22:44,1.65
20221205 19:22:45,1.9
20221205 19:22:45,4.84
20221205 19:22:45,0.17
20221205 19:22:45,0.97
20221205 19:22:45,0.82
20221205 19:22:45,2.01
20221205 19:22:45,0.77
20221205 19:22:45,1.51
20221205 19:22:45,1.39
20221205 19:22:45,0.64
20221205 19:22:45,0.37
20221205 19:22:45,0.7
20221205 19:22:45,1.14
20221205 19:22:45,0.3
20221205 19:22:45,0.42
20221205 19:22:45,2.27
20221205 19:22:45,0.81
20221205 19:22:45,0.99
20221205 19:22:45,3.29
20221205 19:22:46,3.34
20221205 19:22:46,9.61
20221205 19:22:46,2.33
20221205 19:22:46,2.25
20221205 19:22:46,3.63
20221205 19:22:46,0.85
20221205 19:22:46,1
20221205 19:22:46,0.92
20221205 19:22:46,3.19
20221205 19:22:46,0.34
20221205 19:22:46,4.17
20221205 19:22:46,1.15
20221205 19:22:46,3.1
20221205 19:22:46,2.15
20221205 19:22:46,2.32
20221205 19:22:46,0.96
20221205 19:22:46,1.64
20221205 19:22:46,0.15
20221205 19:22:46,1.54
20221205 19:22:46,0.8
20221205 19:22:46,1.08
20221205 19:22:46,6.36
20221205 19:22:46,0.11
20221205 19:22:47,2.96
20221205 19:22:47,0.82
20221205 19:22:47,0.6
20221205 19:22:47,0.38
20221205 19:22:47,4.14
20221205 19:22:47,1.98
20221205 19:22:47,2.37
20221205 19:22:47,0.77
20221205 19:22:47,1.11
20221205 19:22:47,1.59
20221205 19:22:47,9.49
20221205 19:22:47,1.64
20221205 19:22:47,1.78
20221205 19:22:48,2.67
20221205 19:22:48,1.53
20221205 19:22:48,0.34
20221205 19:22:48,0.8
20221205 19:22:48,0.99
20221205 19:22:48,2.1
20221205 19:22:48,0.48
20221205 19:22:48,0.52
20221205 19:22:48,0.39
20221205 19:22:48,0.1
20221205 19:22:48,1.13
20221205 19:22:48,1.2
20221205 19:22:48,5.24
20221205 19:22:48,3.27
20221205 19:22:48,6.34
20221205 19:22:48,0.76
20221205 19:22:48,6.92
20221205 19:22:48,5.37
20221205 19:22:48,2.45
20221205 19:22:48,10.54
20221205 19:22:48,3.11
20221205 19:22:49,4.87
20221205 19:22:49,3.2
20221205 19:22:49,3.32
20221205 19:22:49,0.19
20221205 19:22:49,4.18
20221205 19:22:49,0.36
20221205 19:22:49,0.79
20221205 19:22:49,0.73
20221205 19:22:49,3.36
20221205 19:22:49,0.21
20221205 19:22:49,1.18
20221205 19:22:50,1.79
20221205 19:22:50,0.52
20221205 19:22:50,2.65
20221205 19:22:50,2.46
20221205 19:22:50,2.23
20221205 19:22:50,1.67
20221205 19:22:50,4.53
20221205 19:22:50,1.07
20221205 19:22:50,2.85
20221205 19:22:50,1.39
20221205 19:22:50,1.66
20221205 19:22:50,0.87
20221205 19:22:50,2.19
20221205 19:22:50,0.39
20221205 19:22:50,0.88
20221205 19:22:50,0.1
20221205 19:22:50,2.94
20221205 19:22:51,0.18
20221205 19:22:51,4.59
20221205 19:22:51,5.17
20221205 19:22:51,1.84
20221205 19:22:51,0.59
20221205 19:22:51,0.92
20221205 19:22:51,1.53
20221205 19:22:51,1.23
20221205 19:22:51,3.35
20221205 19:22:51,7.32
20221205 19:22:51,2.75
20221205 19:22:51,6.57
20221205 19:22:51,1.97
20221205 19:22:51,1.45
20221205 19:22:51,1.09
20221205 19:22:52,5.38
20221205 19:22:52,0.3
