通道一计数表：,,,通道二计数表：,,
ID,计数时长(s),计数,ID,计数时长(s),计数
718,0.1,3,718,0.4,22
719,0.1,1,719,0.4,23
720,0.1,8,720,0.4,24
721,0.1,5,721,0.4,17
722,0.1,7,722,0.4,24
723,0.1,7,723,0.4,24
724,0.1,4,724,0.4,25
725,0.1,3,725,0.4,28
726,0.1,4,726,0.4,31
727,0.1,3,727,0.4,17
728,0.1,3,728,0.4,19
729,0.1,8,729,0.4,27
730,0.1,7,730,0.4,18
731,0.1,5,731,0.4,18
732,0.1,3,732,0.4,22
733,0.1,6,733,0.4,20
734,0.1,4,734,0.4,16
735,0.1,5,735,0.4,30
736,0.1,4,736,0.4,17
737,0.1,4,737,0.4,22
738,0.1,4,738,0.4,29
739,0.1,4,739,0.4,24
740,0.1,8,740,0.4,25
741,0.1,6,741,0.4,24
742,0.1,2,742,0.4,23
743,0.1,6,743,0.4,23
744,0.1,9,744,0.4,19
745,0.1,4,745,0.4,16
746,0.1,7,746,0.4,23
747,0.1,7,747,0.4,21
748,0.1,6,748,0.4,29
749,0.1,3,749,0.4,23
750,0.1,4,750,0.4,17
751,0.1,7,751,0.4,15
752,0.1,4,752,0.4,25
753,0.1,4,753,0.4,17
754,0.1,6,754,0.4,29
755,0.1,5,755,0.4,24
756,0.1,6,756,0.4,19
757,0.1,6,757,0.4,29
758,0.1,7,758,0.4,17
759,0.1,7,759,0.4,12
760,0.1,3,760,0.4,25
761,0.1,3,761,0.4,22
762,0.1,6,762,0.4,16
763,0.1,6,763,0.4,24
764,0.1,4,764,0.4,33
765,0.1,5,765,0.4,23
766,0.1,3,766,0.4,21
767,0.1,3,767,0.4,29
768,0.1,5,768,0.4,28
769,0.1,3,769,0.4,20
770,0.1,3,770,0.4,19
771,0.1,4,771,0.4,25
772,0.1,7,772,0.4,24
773,0.1,9,773,0.4,27
774,0.1,6,774,0.4,29
775,0.1,7,775,0.4,11
776,0.1,5,776,0.4,16
777,0.1,4,777,0.4,18
778,0.1,9,778,0.4,27
779,0.1,2,779,0.4,24
780,0.1,4,780,0.4,19
781,0.1,2,781,0.4,22
782,0.1,8,782,0.4,24
783,0.1,7,783,0.4,23
784,0.1,2,784,0.4,31
785,0.1,4,785,0.4,16
786,0.1,6,786,0.4,28
787,0.1,12,787,0.4,19
788,0.1,5,788,0.4,20
789,0.1,7,789,0.4,24
790,0.1,4,790,0.4,19
791,0.1,3,791,0.4,18
792,0.1,3,792,0.4,21
793,0.1,2,793,0.4,25
794,0.1,8,794,0.4,18
795,0.1,5,795,0.4,24
796,0.1,6,796,0.4,17
797,0.1,5,797,0.4,18
798,0.1,7,798,0.4,15
799,0.1,4,799,0.4,22
800,0.1,3,800,0.4,23
801,0.1,5,801,0.4,16
802,0.1,6,802,0.4,30
803,0.1,7,803,0.4,27
804,0.1,8,804,0.4,22
805,0.1,4,805,0.4,16
806,0.1,7,806,0.4,25
807,0.1,3,807,0.4,29
808,0.1,3,808,0.4,21
809,0.1,6,809,0.4,29
810,0.1,6,810,0.4,25
811,0.1,4,811,0.4,24
812,0.1,2,812,0.4,20
813,0.1,8,813,0.4,21
814,0.1,5,814,0.4,24
815,0.1,5,815,0.4,29
816,0.1,5,816,0.4,27
817,0.1,4,817,0.4,29
818,0.1,10,818,0.4,15
819,0.1,4,819,0.4,17
820,0.1,10,820,0.4,21
821,0.1,3,821,0.4,19
822,0.1,1,822,0.4,24
823,0.1,7,823,0.4,24
824,0.1,4,824,0.4,20
825,0.1,7,825,0.4,28
826,0.1,5,826,0.4,17
827,0.1,3,827,0.4,30
828,0.1,5,828,0.4,15
829,0.1,3,829,0.4,20
830,0.1,8,830,0.4,32
831,0.1,1,831,0.4,19
832,0.1,7,832,0.4,16
833,0.1,6,833,0.4,16
834,0.1,3,834,0.4,25
835,0.1,4,835,0.4,18
836,0.1,1,836,0.4,34
837,0.1,3,837,0.4,30
838,0.1,7,838,0.4,20
839,0.1,4,839,0.4,25
840,0.1,6,840,0.4,14
841,0.1,4,841,0.4,15
842,0.1,9,842,0.4,24
843,0.1,3,843,0.4,17
844,0.1,2,844,0.4,16
845,0.1,3,845,0.4,22
846,0.1,3,846,0.4,19
847,0.1,1,847,0.4,20
848,0.1,8,848,0.4,23
849,0.1,1,849,0.4,27
850,0.1,5,850,0.4,25
851,0.1,6,851,0.4,23
852,0.1,5,852,0.4,22
853,0.1,3,853,0.4,20
854,0.1,3,854,0.4,21
855,0.1,4,855,0.4,26
856,0.1,7,856,0.4,15
857,0.1,3,857,0.4,28
858,0.1,5,858,0.4,26
859,0.1,2,859,0.4,26
860,0.1,6,860,0.4,21
